Name	CPU	RAM	GPU	DISK	DISPLAY	Old Price	New Price
Laptop Acer Gaming Nitro 5 Eagle AN515-57-720A NH.QEQSV.004 (Core™ i7-11800H | 8GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 11 | Đen)	Intel® Core™ i7-11800H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce RTX 3050 Ti 4GB GDDR6	512GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel Acer ComfyView LED-backlit	30490000	28990000
Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7 | 16GB | 256GB | Intel Iris Xe | 16.0 inch WQXGA | Win 10 | Bạc)	Intel® Core™ i7-1165G7	16GB LPDDR4 Buss 4266MHz	Intel Iris Xe Graphics	256GB PCIe® NVMe™ M.2 SSD	16.0 inch (40.6cm) WQXGA (2560*1600) IPS LCD, DCI-P3 99% (Typical, min 95%)	48990000	43990000
Laptop Asus ROG Strix G15 G513IC-HN002T (Ryzen 7-4800H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 10 | Xám)	AMD Ryzen 7-4800H	8GB DDR4-3200 SO-DIMM	NVIDIA®GeForceRTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920 x 1080) 16:9, 144Hz, ValueIPS-level, 250nits, anti-glare display	27490000	26990000
Laptop Lenovo V15 G2 ITL 82KB00CHVN (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | FreeDos | Đen)	Intel® Core™ i5-1135G7	8GB Soldered DDR4-3200Mhz	Integrated Intel Iris Xe Graphics	256GB SSD M.2 2242 PCIe 3.0x4 NVMe	15.6 inch FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC	17999000	16890000
Laptop Asus TUF Gaming A15 FA506QM-HN016T (Ryzen 7-5800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Eclipse Gray)	AMD Ryzen 7-5800H	16GB(8GB + 8GB) DDR4-3200Mhz SO-DIMM	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch (16:9) LED backlit FHD (1920x1080) 144Hz Anti-Glare IPS-level Panel with 45% NTSC	32990000	31690000
Laptop Acer Swift X SFX14-41G-R61A NX.AU3SV.001 (Ryzen 5-5600U | 16GB | 1TB | RTX 3050Ti 4GB | 14.0 inch FHD | Win 10 | Safari Gold)	AMD Ryzen 5-5600U	16GB LPDDR4X 2666Mhz onboard	NVIDIA GeForce RTX 3050Ti 4GB GDDR6	1TB PCIe NVMe SSD	14.0 inch FHD(1920 x 1080) IPS panel, 60Hz,100%sRGB	29999000	28990000
Laptop Acer Predator Helios 300 PH315-54-75YD NH.QC2SV.002 (Core i7-11800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch QHD | Win 10 | Đen)	Intel® Core™ i7-11800H	16GB (8GB x 2) DDR4 3200MHz	NVIDIA® GeForce RTX 3060 6GB GDDR6	512GB PCIe NVMe SSD	15.6 inch QHD (2560 x1440) IPS 165Hz SlimBezel, 300 nits, 165Hz,Acer ComfyView LED-backlit TFT LCD	39990000	38990000
Laptop Acer Nitro 5 Eagle AN515-57-5831 NH.QDGSV.003 (Core i5-11400H | 8GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Đen)	Intel® Core i5-11400H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,99%sRGB	32990000	32690000
Laptop Dell Vostro 3400 70253900 (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 14.0-inch FHD | Win 10 | Office)	Intel® Core™ i5-1135G7	8GB(8GBx1) DDR4 3200Mhz	Intel Iris Xe Graphics	256GB M.2 PCIe NVMe SSD	14.0-inch FHD (1920 x 1080) An ti-glare LED Backlight Non-Touch Narrow Border WVA Display	19490000	18490000
Laptop Lenovo Ideapad 3 81WH (Pentium® Silver N5030 | 4GB | 128GB | Intel UHD | 14 inch HD | Win 10 | Hàng nhập khẩu chính hãng)	Intel® Pentium® Silver N5030	4GB Soldered DDR4-2400Mhz	Integrated Intel UHD Graphics 600	128GB SSD M.2 2242 PCIe 3.0x2 NVMe	14 inch HD (1366x768) TN 220nits Anti-glare	11990000	9990000
Laptop MSI Bravo 15 B5DD 264VN (Ryzen 7-5800H | 8GB | 512GB | RX 5500M 4GB | 15.6 inch FHD | Win 11 | Đen)	AMD Ryzen 7-5800H	8GB DDR4 3200MHz	AMD Radeon RX 5500M 4GB GDDR6	512GB NVMe PCIe Gen3x4 SSD	15.6 inch FHD (1920*1080), 60Hz 45%NTSC IPS-Level	25990000	25390000
Laptop Acer Nitro 5 AMD AN515-45-R9SC NH.QBRSV.001 (Ryzen 7-5800H | 8GB | 512GB | RTX TM 3070 8GB | 15.6 inch FHD | Win 10 | Đen)	AMD Ryzen™ 7-5800H	8GB DDR4 3200Mhz khe rời	NVIDIA® GeForce® RTX TM 3070 8GB GDDR6	512GB NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz slim bezel LCD	39900000	36990000
Laptop Dell Vostro 3405 V4R53500U003W (Ryzen™ 5-3500U | 8GB | 512GB | AMD Radeon | 14.0 inch FHD | Win 10 | Đen)	AMD Ryzen™ 5-3500U	8GB (1x8GB) DDR4	AMD Radeon™ Graphics	512GB SSD M2 PCIe NVMe	14.0 inch FHD (1920 x 1080) Anti-Glare	18490000	17190000
Laptop Dell Latitude 3420 L3420I5SSD (Core i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 14.0 inch HD | Fedora | Đen)	Intel® Core i5-1135G7	8GB (1x8GB) 3200MHz DDR4	Intel® Iris® Xe graphics	256GB M.2 PCIe NVMe Class 35 SSD	14.0 inch HD (1366 x 768) AG Non-Touch, 220nits	21990000	20690000
Laptop Asus ROG Zephyrus G14 GA401IHR-HZ009T (Ryzen™ 7-4800HS | 8GB | 512GB | GTX 1650 4GB | 14-inch FHD | Win 10 | Xám)	AMD Ryzen™ 7-4800HS	8GB DDR4 3200Mhz	NVIDIA® GeForce® GTX 1650 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	14-inch FHD (1920 x 1080) 16:9 IPS 144Hz	28990000	26990000
Laptop Lenovo Legion 5 Pro 16ACH6H 82JQ005YVN (Ryzen 7-5800H | 16GB | 1TB SSD | RTX 3070 8GB | 16.0 inch WQXGA | Win 10 | Xám)	AMD Ryzen 7-5800H	16GB(2x 8GB) SO-DIMM DDR4-3200Mhz	NVIDIA GeForce RTX 3070 8GB GDDR6	1TBSSD M.2 2280 PCIe 3.0x4 NVMe	16.0 inch WQXGA (2560x1600) IPS 500nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.	51900000	49999000
Laptop Asus ZenBook 13 UX325EA-KG363T (Core™ i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Win 10 | Xám)	Intel® Core™ i5-1135G7	8GB 4266MHz LPDDR4X	Intel® Iris® Xe Graphics	512GB PCIe® NVMe™ 3.0 x2 M.2 SSD	13.3 inch FHD (1920 x 1080), OLED	25290000	24390000
Laptop Gaming Asus ROG Zephyrus G15 GA503QM-HQ158T (Ryzen 9-5900HS | 16GB | 512GB | RTX 3060 6GB | 15.6 inch WQHD | Win 10 | Eclipse Gray)	AMD Ryzen 9-5900HS	16GB(8GB + 8GB[On board]) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch WQHD (2560 x 1440) WV,300NITS,DCI-P3:100%, 165Hz AdaptiveSync, Nanoedge	45990000	45890000
Laptop Acer Nitro 5 AN515-57-77KU NH.QDGSV.001 (Core i7-11800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch QHD | Win 10 | Đen)	Intel® Core™ i7-11800H	16GB DDR4 3200MHz khe rời	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB PCIe NVMe SSD	15.6 inch QHD (2560 x 1440) IPS 165Hz SlimBezel,100% sRGB	39900000	37990000
Laptop Asus ZenBook 14 UX425EA-KI429T (Core i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Xám)	Intel® Core™ i5-1135G7	8GB 4266MHz LPDDR4X	Intel® Iris® Xe Graphics	512GB PCIe® NVMe™ 3.0 x2 M.2 SSD	14.0 inch Full HD (1920 x 1080), 16:9 aspect, anti-glare screen, 400nits brightness display	24690000	23490000
Laptop Fujitsu Lifebook U9311 L0U9311VN00000053 (Core i5-1135G7 | 16GB | 512GB + 32GB Optane | Intel® Iris | 13.3 inch FHD | FreeDos | Đen | Vỏ carbon)	Intel® Core™ i5-1135G7	16GB LPDDR4x 4266Mhz	Intel® Iris® Xe Graphics	512GB PCIe NVMe M.2	13.3 inch FHD (1920x1080) WVA, antiglare, 700:1, 300 cd/m², với bảng điều khiển cảm ứng	42990000	41990000
Laptop Lenovo ThinkBook 15 G2 ITL 20VE0040VN (Core i7-1165G7 | 8GB | 512GB | MX450 2GB | 15.6 inch FHD | Win 10 | Xám)	Intel® Core™ i7-1165G7	8GB Soldered DDR4-3200Mhz	NVIDIA GeForce MX450 2GB GDDR6	512GB SSD M.2 2242 PCIe 3.0x4 NVMe + Empty HDD Bay	15.6 inch FHD (1920x1080) IPS 250nits Anti-glare	25990000	24990000
Laptop Fujitsu Lifebook E5411/A (Core i5-1135G7 | 4GB | 256GB | Intel Iris | 14.0 inch HD | FreeDOS | Đen)	Intel® Core™ i5-1135G7	4GB DDR4 3200Mhz	Intel® Iris® Xe Graphics	256GB PCIe G3 M.2	14.0 inch HD (1366 x 768), antiglare, 350:1, 200 cd/m²	22990000	20990000
Laptop Gigabyte AERO 15 OLED KD 72S1623GH (Core i7-11800H | 16GB | 512GB SSD | RTX™ 3060 6GB | 15.6 inch UHD | Win 10 | Đen)	Intel Core i7-11800H	16GB (2x8GB) DDR4-3200Mhz	NVIDIA GeForce RTX 3060 6GB GDDR6	512GB M.2 SSD	15.6 inch Thin Bezel UHD (3840x2160) Samsung AMOLED Display (VESA DisplayHDR 400 True Black, 100% DCI-P3)	49900000	47990000
Laptop Lenovo Legion 7 16ACHg6 82N60039VN (Ryzen 9-5900HX | 32GB | 1TB SSD | RTX 3080 16GB | 16.0 inch WQXGA | Win 10 | Xám)	AMD Ryzen™ 9-5900HX	32GB (2x 16GB) SO-DIMM DDR4-3200Mhz	NVIDIA GeForce RTX 3080 16GB GDDR6	1TB SSD M.2 2280 PCIe 3.0x4 NVMe	16.0 inch WQXGA (2560x1600) IPS 500nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer	79990000	79690000
Laptop Acer Nitro 5 Eagle AN515-57-74NU NH.QD9SV.001 (Core i7-11800H | 8GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 10 | Đen)	Intel® Core™ i7-11800H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce RTX 3050 Ti 4GB GDDR6	512GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel	29990000	28490000
Laptop Acer Aspire 5 A515 (Core™ i3-1005G1 | 4GB | 128GB | Intel UHD | 15.6 inch FHD | Win 10 Nhập Khẩu Chính Hãng)	Intel® Core™ i3-1005G1	4GB DDR4 2400Mhz	Intel® Core™ UHD	128GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 60Hz Acer ComfyView IPS LED LCD	13690000	12690000
Laptop Gaming Asus ROG STRIX G15 G513QM-HQ283T (Ryzen 9-5900HX | 16GB | 512GB | RTX 3060 6GB | 15.6 inch WQHD| Win 10 | Xám)	AMD Ryzen 9-5900HX	16GB (8GB*2) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch WQHD IPS, 165Hz	42990000	41590000
Laptop Lenovo Yoga Slim 7 14ITL05 82A3004FVN	Intel® Core™ i7-1165G7	8GB DDR4 3200MHz	Intel Iris Plus Graphics	512GB M.2 PCIe NVMe SSD	14.0 inch FHD (1920x1080) IPS, 300 nit	27990000	26990000
Laptop Acer Aspire 3 A315-57G-524Z NX.HZRSV.009	Intel Core i5-1035G1	4GB onboard + 4GB cắm sẵn DDR4 2400Mhz	NVIDIA® GeForce® MX330 2GB	512GB PCIe NVMe SSD cắm sẵn	15.6 inch FHD(1920 x 1080), 60Hz Acer ComfyView LED LCD	17590000	17290000
Laptop Asus ROG Zephyrus G14 GA401QE-K2026T (Ryzen 7-5800HS | 16GB | 1TB SSD | RTX 3050 Ti 4GB | 14.0 inch WQHD | Win 10 | Xám)	AMD Ryzen™ 7-5800HS	16GB(8GB + 8GB) [On board] DDR4 3200MHz	NVIDIA® GeForce® RTX 3050 Ti 4GB GDDR6	1TB SSD M.2 NVMe PCIe	14.0 inch WQHD(2560 x 1440) IPS 120Hz, 100% DCI-P3,300NITS, AdaptiveSync, Nanoedge, Pantone Validated Display	41990000	39990000
Laptop Asus TUF Gaming A15 FA506QR-AZ003T (Ryzen 7-5800H | 16GB | 512GB | RTX™ 3070 8GB | 15.6 inch FHD | Win 10 | Eclipse Gray)	AMD Ryzen 7-5800H	16GB (8GB+8GB) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3070 8GB GDDR6	512GB PCIE SSD	15.6 inch FHD (1920x1080)IPS, Non-Glare, 240Hz AdaptiveSync, Nanoedge,100% SRGB	40990000	38990000
Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F	Intel® Core™ i5-1035G1	4GB DDR4 2400Mhz onboard	Intel® UHD Graphics	256GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080), IPS, 60Hz, Acer ComfyView LED LCD	14990000	14290000
Laptop Asus ExpertBook P2451FA-EK1620 (Core™ i5-10210U | 8GB | 512GB | Intel UHD | 14.0 inch FHD | Free Dos)	Intel® Core™ i5-10210U	8GB DDR4 SO-DIMM	Intel UHD Graphics	512GB SSD	14.0 inch (16:9) LED-backlit FHD (1920 x 1080) 60Hz Anti-Glare Panel with 45% NTSC	19990000	18900000
Laptop Asus ExpertBook P2451FA-EK1623T (Core™ i3-10110U | 4GB | 512GB | Intel UHD | 14.0 inch FHD | Free Dos)	Intel® Core™ i3-10110U	4GB DDR4 SO-DIMM	Intel UHD Graphics	512GB SSD	14.0 inch (16:9) LED-backlit FHD (1920 x 1080) 60Hz Anti-Glare Panel with 45% NTSC	15990000	14790000
Laptop LG Gram 2021 16Z90P-G.AH75A5 (Core i7-1165G7 | 16GB | 512GB | Intel Iris Xe | 16.0 inch WQXGA | Win 10 | Đen)	Intel® Core™ i7-1165G7	16GB LPDDR4 Buss 4266MHz	Intel Iris Xe Graphics	512GB PCIe® NVMe™ M.2 SSD	16.0 inch (40.6cm) WQXGA (2560*1600) IPS LCD, DCI-P3 99% (Typical, min 95%)	50900000	44990000
Laptop LG Gram 2021 14ZD90P-G.AX51A5 (Core i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 14.0 inch WUXGA | FreeDos | Trắng)	Intel Core i5-1135G7	8GB LPDDR4X Buss 4266MHz	Intel Iris Xe Graphics	256GB PCIe® NVMe™ M.2 SSD	14.0 inch (30.2cm) WUXGA (1920*1200) IPS LCD, DCI-P3 99% (Typical, min 95%)	34900000	32990000
Laptop LG Gram 2021 17ZD90P-G.AX71A5 (Core i7-1165G7 | 16GB | 256GB | Intel Iris Xe | 17.0 inch WQXGA | FreeDos | Trắng)	Intel® Core™ i7-1165G7	16GB LPDDR4 Buss 4266MHz	Intel Iris Xe Graphics	256GB PCIe® NVMe™ M.2 SSD	17.0 inch WQXGA (2560 x 1600) 16:10, IPS, sRGB 100%, DCI-P3 99%	44990000	40990000
Laptop LG Gram 2021 14Z90P-G.AH75A5 (Core i7-1165G7 | 16GB | 512GB | Intel Iris Xe | 14.0 inch WUXGA | Win 10 | Đen)	Intel Core i7-1165G7	16GB LPDDR4X Buss 4266MHz	Intel Iris Xe Graphics	512GB PCIe® NVMe™ M.2 SSD	14.0 inch (30.2cm) WUXGA (1920*1200) IPS LCD, DCI-P3 99% (Typical, min 95%)	47900000	44990000
Laptop LG Gram 2021 16ZD90P-G.AX54A5 (Core i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 16.0 inch WQXGA | FreeDos | Trắng)	Intel Core i5-1135G7	8GB LPDDR4X Buss 4266MHz	Intel Iris Xe Graphics	512GB PCIe® NVMe™ M.2 SSD	16.0 inch (40.6cm) WQXGA (2560*1600) IPS LCD, DCI-P3 99% (Typical, min 95%)	39990000	38990000
Laptop Lenovo Thinkpad X13 Gen 2 20WK00CUVA (Core i7-1165G7 | 8GB | 512GB | Intel Iris Xe | 13.3 inch WQXGA | FreeDos | Đen)	Intel® Core™ i7-1165G7	8GB Soldered LPDDR4x-4266Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2280 PCIe x4 NVMe Opal2	13.3 inch WQXGA (2560x1600) Low Power IPS 400nits Anti-glare	36490000	35990000
Laptop Gaming Asus ROG STRIX G15 G513QM-HF295T (Ryzen 7-5800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Xám)	AMD Ryzen 7-5800H	16GB (8GB*2) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6inch FHD IPS, 100% sRGB, 300nits, 300Hz 3ms AdaptiveSync, Nanoedge	40990000	39990000
Laptop Asus ROG Zephyrus G14 GA401QM-K2041T	AMD Ryzen™ 9-5900HS	32GB DDR4-3200Mhz SO-DIMM	NVIDIA® GeForce RTX 3060 6GB GDDR6 65W	1TB M.2 NVMe™ PCIe® 3.0	14-inch WQHD (2560 x 1440) 16:9, anti-glare display, 120Hz, IPS-level	49990000	48590000
Laptop Lenovo ThinkPad X1 Carbon Gen 9 20XW0076VN (Core i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 14 inch WUXGA | Win 10 | Đen)	Intel® Core™ i5-1135G7	8GB Soldered LPDDR4x-4266Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2280 PCIe x4 NVMe Opal2	14 inch WUXGA (1920x1200) IPS 400nits Anti-glare	46090000	45690000
Laptop Asus ROG Zephyrus M16 GU603HR-K8036T (Core i9-11900H | 32GB | 2TB SSD | RTX 3070 8GB | 16-inch WQXGA | Win 10 | Đen)	Intel® Core™ i9-11900H	32GB DDR4-3200Mhz SO-DIMM	NVIDIA® GeForce RTX 3070 8GB GDDR6	2TB M.2 NVMe™ PCIe® 4.0 SSD	16-inch WQXGA (2560 x 1600)IPS 16:10, màn hình chống chói, 100%, 165Hz, 3ms	71990000	71890000
Laptop Asus ROG Zephyrus S17 GX703HS-K4016T (Core™ i9-11900H | 32GB | 2TB | RTX™ 3080 16GB | 17.3-inch WQHD | Win 10 | Đen)	Intel® Core™ i9-11900H	32GB(16GBDDR4onboard + 16GB DDR4-3200 SO-DIMM)	NVIDIA®GeForceRTX™3080 16GB GDDR6	2TB M.2 NVMe™ PCIe® 4.0 SSD	17.3-inch WQHD (2560 x 1440) 16:9, 165Hz, IPS-level, 300nits, anti-glare display	99990000	99890000
Laptop Dell Inspiron 5510 0WT8R1 (Core i5-11300H | RAM 8GB | 256GB SSD | 15.6 FHD | BẠC | Win 10)	Intel® Core i5-11300H	8GB(4GBx2)DDR4 3200MHz	Intel Iris Xe Graphics	256GB M.2 PCIe NVMe SSD	15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display	23690000	22890000
Laptop Acer Gaming Nitro 5 AN515-57-56S5 NH.QEKSV.001 (Core i5-11400H | 8GB | 512GB | GTX™ 1650 4GB | 15.6 inch FHD | Win 11 | Đen)	Intel® Core i5-11400H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce GTX™ 1650 4GB GDDR6	512GB PCIe NVMe SSD cắm sẵn	15.6 inch FHD(1920 x 1080) IPS 144Hz slim bezel LCD, Acer ComfyView LED-backlit TFT LCD	24990000	23990000
Laptop ASUS TUF Gaming F15 FX506HCB-HN141W (Core™ i7-11800H | 8GB | 512GB | RTX™ 3050 4GB | 15.6 inch FHD | Win 11 | Xám)	Intel® Core™ i7-11800H	8GB DDR4-3200Mhz SO-DIMM	NVIDIA®GeForceRTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920x1080) IPS, 16:9, 250nit , anti-glare display, Adaptive-Sync, 144hz	28990000	28490000
Laptop Lenovo Legion 5 15ITH6 82JK0037VN (Core™ i7-11800H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 10 | Xanh)	Intel® Core™ i7-11800H	8GB(1x 8GB) SO-DIMM DDR4-3200Mhz	NVIDIA GeForce RTX 3050 4GB GDDR6	512GB SSD M.2 2280 PCIe 4.0x4 NVMe	15.6 inch FHD (1920x1080) IPS 300nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, G-Sync, DC dimmer	34990000	34490000
Laptop Lenovo Legion 5 15ITH6 82JK0036VN (Core™ i5-11400H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 10 | Xanh)	Intel® Core™ i5-11400H	8GB(1x 8GB) SO-DIMM DDR4-3200Mhz	NVIDIA GeForce RTX 3050 4GB GDDR6	512GB SSD M.2 2280 PCIe 4.0x4 NVMe	15.6 inch FHD (1920x1080) IPS 300nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, G-Sync, DC dimmer	31990000	30990000
Laptop Asus Gaming TUF Dash F15 FX516PM HN002W (Core i7-11370H | 8GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 11 | Xám)	Intel Core i7-11370H	8GB DDR43200MHz	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB SSDM.2 NVMe™ PCIe®3.0	15.6 inch FHD (1920*1080) IPS, Non-Glare, 144Hz, Nanoedge, 45% NTSC, 62.5% sRGB	32990000	32690000
Laptop Acer Nitro 5 AMD AN515-45-R3SM NH.QBMSV.005 (Ryzen 5-5600H | 8GB | 512GB | GTX 1650 4GB | 15.6' FHD | Win10 | Đen)	AMD Ryzen™ 5-5600H	8GB DDR4 3200Mhz khe rời	NVIDIA® GeForce® GTX 1650 4GB GDDR6	512GB NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz slim bezel LCD	24990000	23390000
Laptop Lenovo ThinkBook 13s G2 ITL 20V9002GVN (Core i7/RAM 8GB/512GB SSD/Intel Iris/13.3 inch/Win 10/Xám)	Intel® Core™i7-1165G7	8GB Soldered LPDDR4x-4266Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2242 PCIe 3.0x4 NVMe	13.3 inch WQXGA (2560x1600) Low power IPS 300nits Anti-glare, 100% sRGB, Dolby Vision	27490000	26490000
Laptop Lenovo ThinkBook 13s G2 ITL 20V9002FVN (i5/RAM 8GB/512GB SSD/Intel Iris/13.3 inch/Win 10/Xám)	Intel® Core™ i5-1135G7	8GB Soldered LPDDR4x-4266Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2242 PCIe 3.0x4 NVMe	13.3 inch WQXGA (2560x1600) Low power IPS 300nits Anti-glare, 100% sRGB, Dolby Vision	24890000	23890000
Laptop Lenovo ThinkBook 15 G2 ITL 20VE006WVN	Intel® Core™ i5-1135G7	8GB Soldered DDR4-3200Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2242 PCIe 3.0x4 NVMe	15.6 inch FHD (1920x1080) IPS 250nits Anti-glare	20890000	19890000
Laptop MSI Pulse GL66 11UDK 255VN (Core i7-11800H | 16GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 10 | Đen)	Intel® Core™ i7-11800H	16GB (8GB x 2) DDR4 3200MHz	nVidia Geforce RTX 3050 Ti 4GB GDDR6	512GB NVMe PCIe Gen3x4 SSD (new)	15.6 inch FHD (1920*1080), 144Hz 72%NTSC IPS-Level, close to 100%sRGB	34890000	33690000
Laptop Lenovo Legion 5 Pro 16ITH6H 82JD0046VN (Core™ i7-11800H | 16GB | 512GB | RTX 3060 6GB | 16 inch WQXGA | Win 10 | Trắng)	Intel® Core™ I7-11800H	16GB (2x 8GB) SO-DIMM DDR4-3200	NVIDIA GeForce RTX 3060 6GB GDDR6	512GB SSD M.2 2280 PCIe 4.0x4 NVMe	16 inch WQXGA (2560x1600) IPS 500nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, HDR 400, G-Sync, DC dimmer	46990000	46790000
Laptop Lenovo Legion 5 Pro 16ACH6H 82JQ001VVN (Ryzen 7-5800H | 16GB | 512GB | RTX™ 3060 6GB | 16.0 inch WQXGA | Win 10 | Xám)	AMD Ryzen 7-5800H	16GB(2x 8GB) SO-DIMM DDR4-3200Mhz	NVIDIA GeForce RTX 3060 6GB GDDR6	512GB SSD M.2 2280 PCIe 3.0x4 NVMe	16.0 inch WQXGA (2560x1600) IPS 500nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.	43690000	42990000
Laptop Acer Gaming Aspire 7 A715-42G-R6ZR NH.QAYSV.003 (Ryzen R5-5500U | 8GB | 512GB | GTX 1650 4GB | 15.6 inch FHD | Win 10 | Đen)	AMD Ryzen™ 5-5500U	8GB(1x8GB) DDR4 3200MHz	NVIDIA GeForce GTX 1650 4GB GDDR6	512GB PCIe NVMe SSD cắm sẵn	15.6 inch FHD(1920 x 1080) 144Hz SlimBezel, Acer ComfyView™ IPS LED LCD	22490000	21990000
Laptop Acer Gaming Aspire 7 A715-42G-R1SB NH.QAYSV.005 (Ryzen R5-5500U | 8GB | 256GB | GTX 1650 4GB | GTX 1650 4GB | 15.6 inch FHD | Win 10 | Đen)	AMD Ryzen™ 5-5500U	8GB(1x8GB) DDR4 3200MHz	NVIDIA GeForce GTX 1650 4GB GDDR6	256GB PCIe NVMe SSD cắm sẵn	15.6 inch FHD(1920 x 1080) 144Hz SlimBezel, Acer ComfyView™ IPS LED LCD	20990000	20490000
Laptop Dell Vostro 3400 70253899 (P132G003) (Core i3-1115G4 | 8GB | 256GB SSD | Win 10)	Intel® Core™ i3-1115G4	8GB DDR4 3200MHz	IntelUHD Graphics	256GB M.2 SSD PCIe NVMe	14 inch FHD (1920 x 1080) 60Hz, WVA	16490000	15390000
Laptop Dell Latitude 5520 42LT552000 (Core i7-1185G7 | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | Win 10 | Ubuntu Linux)	Intel® Core i7-1185G7	8GB DDR4 3200MHz	Intel Iris Xe Graphics	256GB M.2 PCIe NVMe Class 35 SSD	15.6 inch FHD (1920x1080) IPS Anti-glare 250nits	32590000	30990000
Laptop Asus ROG Strix G15 G513IH-HN015T (Ryzen 7-4800H | 8GB | 512GB | GTX 1650 4GB | 15.6 inch FHD | Win 10 | Xám)	AMD Ryzen 7-4800H	8GB DDR4 3200MHz	NVIDIA Geforce GTX 1650 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920 x 1080) IPS, Non-Glare, 144Hz AdaptiveSync, Nanoedge	23990000	23490000
